date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:12:54	276449/276449	---M-Z	200	added ('OK')	text/html	etag:%22437e1-63161cfb-e34c0971e982f390;gz%22	https://uiuxom.com/ulina/html/index.html	C:/KieuLinh/boostrap/uiuxom.com/ulina/html/index.html	(from )
14:12:55	107/107	---MCZ	200	added ('OK')	text/plain	etag:%22613-1669106097;gz%22	https://uiuxom.com/robots.txt		(from )
14:12:55	237601/237601	---M-Z	200	added ('OK')	text/css	etag:%223a021-63161ca5-fe844588ee4da41f;gz%22	https://uiuxom.com/ulina/html/css/bootstrap.css	C:/KieuLinh/boostrap/uiuxom.com/ulina/html/css/bootstrap.css	(from https://uiuxom.com/ulina/html/index.html)
14:12:56	79179/79179	---M-Z	200	added ('OK')	text/css	etag:%221354b-63161ca4-66ab85b5b01c62b4;gz%22	https://uiuxom.com/ulina/html/css/animate.css	C:/KieuLinh/boostrap/uiuxom.com/ulina/html/css/animate.css	(from https://uiuxom.com/ulina/html/index.html)
14:12:56	137857/137857	---M-Z	200	added ('OK')	text/css	etag:%2221a81-63161ca5-3961a034194850dc;gz%22	https://uiuxom.com/ulina/html/css/fontawesome-all.css	C:/KieuLinh/boostrap/uiuxom.com/ulina/html/css/fontawesome-all.css	(from https://uiuxom.com/ulina/html/index.html)
14:12:57	1018/1018	---M-Z	200	added ('OK')	text/css	etag:%223fa-63161ca7-5a372002c8cf0a10;gz%22	https://uiuxom.com/ulina/html/css/owl.theme.default.min.css	C:/KieuLinh/boostrap/uiuxom.com/ulina/html/css/owl.theme.default.min.css	(from https://uiuxom.com/ulina/html/index.html)
14:12:57	3356/3356	---M-Z	200	added ('OK')	text/css	etag:%22d1c-63161ca6-792bf607e3c1011;gz%22	https://uiuxom.com/ulina/html/css/owl.carousel.min.css	C:/KieuLinh/boostrap/uiuxom.com/ulina/html/css/owl.carousel.min.css	(from https://uiuxom.com/ulina/html/index.html)
14:12:57	17567/17567	---M-Z	200	added ('OK')	text/css	etag:%22449f-63161ca6-de9a35ef8201a238;gz%22	https://uiuxom.com/ulina/html/css/lightcase.css	C:/KieuLinh/boostrap/uiuxom.com/ulina/html/css/lightcase.css	(from https://uiuxom.com/ulina/html/index.html)
14:12:58	1330/1330	---M-Z	200	added ('OK')	text/css	etag:%22532-63161ca8-2f64a1d8c638572b;gz%22	https://uiuxom.com/ulina/html/css/slick.css	C:/KieuLinh/boostrap/uiuxom.com/ulina/html/css/slick.css	(from https://uiuxom.com/ulina/html/index.html)
14:12:58	4007/4007	---M-Z	200	added ('OK')	text/css	etag:%22fa7-63161ca6-6b05474aa4c3b174;gz%22	https://uiuxom.com/ulina/html/css/nice-select.css	C:/KieuLinh/boostrap/uiuxom.com/ulina/html/css/nice-select.css	(from https://uiuxom.com/ulina/html/index.html)
14:12:59	30072/30072	---M-Z	200	added ('OK')	text/css	etag:%227578-63161ca8-d1836eeb61965fe8;gz%22	https://uiuxom.com/ulina/html/css/settings.css	C:/KieuLinh/boostrap/uiuxom.com/ulina/html/css/settings.css	(from https://uiuxom.com/ulina/html/index.html)
14:13:00	1046/1046	---M-Z	200	added ('OK')	text/css	etag:%22416-63161ca9-a33c165c3d343655;gz%22	https://uiuxom.com/ulina/html/css/ulina-icons.css	C:/KieuLinh/boostrap/uiuxom.com/ulina/html/css/ulina-icons.css	(from https://uiuxom.com/ulina/html/index.html)
14:13:00	4227/4227	---M-Z	200	added ('OK')	text/css	etag:%221083-63161ca6-3dadb618d28afadd;gz%22	https://uiuxom.com/ulina/html/css/ignore_for_wp.css	C:/KieuLinh/boostrap/uiuxom.com/ulina/html/css/ignore_for_wp.css	(from https://uiuxom.com/ulina/html/index.html)
14:13:00	4763/4763	---M-Z	200	added ('OK')	text/css	etag:%22129b-63161ca7-dd0d99989160eeb;gz%22	https://uiuxom.com/ulina/html/css/preset.css	C:/KieuLinh/boostrap/uiuxom.com/ulina/html/css/preset.css	(from https://uiuxom.com/ulina/html/index.html)
14:13:01	149759/149759	---M-Z	200	added ('OK')	text/css	etag:%22248ff-63161ca8-8e7a28ba50c30530;gz%22	https://uiuxom.com/ulina/html/css/theme.css	C:/KieuLinh/boostrap/uiuxom.com/ulina/html/css/theme.css	(from https://uiuxom.com/ulina/html/index.html)
14:13:01	44356/44356	---M-Z	200	added ('OK')	text/css	etag:%22ad44-63161ca7-1f88a88d887f57c9;gz%22	https://uiuxom.com/ulina/html/css/responsive.css	C:/KieuLinh/boostrap/uiuxom.com/ulina/html/css/responsive.css	(from https://uiuxom.com/ulina/html/index.html)
14:13:01	2517/2517	---M--	200	added ('OK')	image/png	etag:%229d5-63161cbd-f9c7e3c0e37c5a9b;;;%22	https://uiuxom.com/ulina/html/images/favicon.png	C:/KieuLinh/boostrap/uiuxom.com/ulina/html/images/favicon.png	(from https://uiuxom.com/ulina/html/index.html)
14:13:01	8850/8850	---M--	200	added ('OK')	image/png	etag:%222292-63161ccd-3b75cc8a7569a795;;;%22	https://uiuxom.com/ulina/html/images/logo.png	C:/KieuLinh/boostrap/uiuxom.com/ulina/html/images/logo.png	(from https://uiuxom.com/ulina/html/index.html)
14:13:02	237013/237013	---M-Z	200	added ('OK')	text/html	etag:%2239dd5-63161cfc-3e2db69f39d2a2a6;gz%22	https://uiuxom.com/ulina/html/index2.html	C:/KieuLinh/boostrap/uiuxom.com/ulina/html/index2.html	(from https://uiuxom.com/ulina/html/index.html)
14:13:02	58152/58152	---M-Z	200	added ('OK')	text/html	etag:%22e328-63161c9e-a342ba23b3f09a03;gz%22	https://uiuxom.com/ulina/html/about.html	C:/KieuLinh/boostrap/uiuxom.com/ulina/html/about.html	(from https://uiuxom.com/ulina/html/index.html)
14:13:03	146431/146431	---M-Z	200	added ('OK')	text/html	etag:%2223bff-63161d07-7979f7de6b409ee;gz%22	https://uiuxom.com/ulina/html/shop_left_sidebar.html	C:/KieuLinh/boostrap/uiuxom.com/ulina/html/shop_left_sidebar.html	(from https://uiuxom.com/ulina/html/index.html)
14:13:03	156229/156229	---M-Z	200	added ('OK')	text/html	etag:%2226245-63161d07-6639122ace094b3f;gz%22	https://uiuxom.com/ulina/html/shop_full_width.html	C:/KieuLinh/boostrap/uiuxom.com/ulina/html/shop_full_width.html	(from https://uiuxom.com/ulina/html/index.html)
